well,base,MOPS,Glucose,Tryptone,YE,Glutamate,NaCl,mu,team,round
A1,Def-Min,0,0,0,0,0,0,0.674,ViNatX,1
A2,Def-Min,0,20,0,0,0,0,0.613,ViNatX,1
A3,Def-Min,0,0,0,0,0,20,0.534,ViNatX,1
A4,Def-Min,0,20,0,0,0,20,0.549,ViNatX,1
B1,Def-Min,20,0,0,0,0,0,0.684,ViNatX,1
B2v,Def-Min,20,20,0,0,0,0,0.659,ViNatX,1
B3v,Def-Min,20,0,0,0,0,20,0.703,ViNatX,1
B4v,Def-Min,20,20,0,0,0,20,0.66,ViNatX,1
C1,NBxCyclone,0,0,0,0,0,0,0.683,ViNatX,1
C2,LBv2,0,0,0,0,0,0,0.725,ViNatX,1
C3,Semi-Def,0,0,0,0,0,0,0.625,ViNatX,1
C4,Def-Glycerol,0,0,0,0,0,0,0.241,ViNatX,1
D1,Def-Min,20,0,0,0,20,0,0.3658516559690853,ViNatX,2
D2,Def-Min,20,0,20,20,0,0,0.6315416811930028,ViNatX,2
D3,Def-Min,20,0,20,10,10,0,0.38217729752194046,ViNatX,2
D4,LBv2,20,0,0,0,20,0,0.7082924697619415,ViNatX,2
E1,LBv2,0,0,0,0,20,0,0.7087481400102003,ViNatX,2
E2,HBDef,0,0,20,20,10,0,0.661450644450633,ViNatX,2
E3,LBv2,20,0,0,0,0,0,0.6616265336665856,ViNatX,2
E4,LBv2,0,0,0,0,0,0,0.6374082747570363,ViNatX,2
F1,Def-Min,10,0,26,0,10,0,0.6179544666346282,ViNatX,2
