Plate,Condition,μ (1/hr),μ std,Doubling (min),Doubling std,R²,n reps
CellAI,50%,0.2908,0.0357,145.4,19.2,0.993,3
CellAI,45%,0.208,0.0637,217.0,56.1,0.933,3
CellAI,40%,0.2328,0.0113,179.1,9.0,0.968,3
CellAI,35%,0.1583,0.0078,263.4,13.3,0.932,3
CellAI,30%,0.1537,0.0089,271.5,16.3,0.928,3
CellAI,25%,0.1978,0.0429,219.4,42.1,0.92,3
CellAI,20%,0.2074,0.0061,200.7,6.0,0.905,3
CellAI,15%,0.3568,0.1049,125.9,31.7,0.929,3
CellAI,10%,0.4439,0.0315,94.1,6.4,0.903,3
CellAI,5%,0.4315,0.0097,96.4,2.1,0.897,3
ViNatX,50%,0.0461,0.0195,1201.1,710.6,0.347,3
ViNatX,30%,0.2274,0.0464,191.6,43.0,0.925,3
ViNatX,20%,0.2838,0.0263,147.9,14.6,0.836,3
ViNatX,15%,0.5122,0.0506,82.1,8.7,0.941,3
ViNatX,10%,0.6519,0.0083,63.8,0.8,0.987,3
ViNatX,5%,0.6064,0.0292,68.7,3.3,0.967,3
