timestamp,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4,G1,G2,G3,G4,G5,H1,H2,H3,H4
2026-03-15T19:30:19.806384+00:00,0.3709,0.3281,0.3508,0.3349,0.6628,0.406,0.7856,0.4025,1.4707,1.2416,0.3342,0.8971,1.3674,1.3787,1.5891,1.5884,1.5531,1.2447,1.5139,1.4283,1.615,0.6671,0.7575,0.6048,0.6118,0.6107,0.6414,0.6505,0.4512,0.4992,0.4886,0.575,0.4374
2026-03-15T19:20:21.657403+00:00,0.3705,0.3281,0.3509,0.3351,0.659,0.4055,0.7827,0.4031,1.4792,1.2479,0.3348,0.8963,1.3676,1.3802,1.5876,1.5827,1.5826,1.238,1.5107,1.4384,1.6158,0.6384,0.7258,0.5849,0.5839,0.5851,0.6105,0.6156,0.4458,0.4857,0.4816,0.5628,0.4283
2026-03-15T19:10:22.371427+00:00,0.3708,0.3286,0.3517,0.335,0.658,0.4064,0.7807,0.403,1.4899,1.2554,0.3357,0.8946,1.3661,1.383,1.5889,1.58,1.6249,1.2318,1.511,1.4493,1.6179,0.6109,0.6837,0.5664,0.5586,0.5612,0.5815,0.585,0.4408,0.4713,0.4758,0.549,0.4152
2026-03-15T19:00:21.325571+00:00,0.371,0.3287,0.3513,0.335,0.6521,0.4064,0.778,0.4047,1.5067,1.2625,0.3363,0.8918,1.3634,1.3836,1.5854,1.5761,1.6291,1.2232,1.5081,1.4953,1.6183,0.5812,0.6603,0.5511,0.5302,0.5343,0.5522,0.5568,0.4366,0.4542,0.4697,0.5315,0.405
2026-03-15T18:50:19.009123+00:00,0.3714,0.3289,0.3512,0.3352,0.6464,0.4067,0.777,0.4047,1.5554,1.27,0.3371,0.8885,1.3595,1.3865,1.5869,1.5718,1.6076,1.2181,1.5066,1.4607,1.6198,0.5485,0.6275,0.5296,0.5092,0.5093,0.5191,0.5229,0.4369,0.4372,0.4639,0.5153,0.3927
2026-03-15T18:40:20.818462+00:00,0.3709,0.3291,0.3546,0.3353,0.6412,0.4076,0.7749,0.4054,1.7096,1.2797,0.3392,0.8865,1.3649,1.3911,1.5877,1.5674,1.5924,1.2142,1.5048,1.4474,1.6213,0.5186,0.57,0.5046,0.4848,0.4785,0.4843,0.4782,0.4298,0.4197,0.4562,0.4974,0.378
2026-03-15T18:30:20.718089+00:00,0.3718,0.3323,0.3561,0.3354,0.644,0.4087,0.7733,0.4074,1.655,1.2907,0.341,0.8867,1.3857,1.3976,1.5912,1.5648,1.583,1.21,1.5045,1.4461,1.6259,0.4892,0.5318,0.4846,0.4681,0.4618,0.4578,0.4453,0.4261,0.4037,0.4509,0.4809,0.3713
2026-03-15T18:20:20.366314+00:00,0.3716,0.335,0.3605,0.3349,0.6435,0.4125,0.775,0.4106,1.6259,1.3052,0.345,0.8877,1.4527,1.4055,1.5969,1.5646,1.5787,1.2081,1.5062,1.447,1.6323,0.4625,0.483,0.4557,0.4445,0.4401,0.4359,0.4094,0.4084,0.3869,0.4334,0.466,0.3592
2026-03-15T18:08:25.351727+00:00,0.3768,0.3459,0.3654,0.3393,0.6464,0.4196,0.7791,0.416,1.6129,1.3229,0.3504,0.8957,1.457,1.417,1.6013,1.5638,1.5781,1.2087,1.5166,1.4532,1.6428,0.4658,0.4669,0.467,0.4178,0.4259,0.4118,0.3785,0.3778,0.3612,0.4377,0.4196,0.3342
2026-03-15T17:21:24.933794+00:00,0.3725,0.3329,0.357,0.3361,0.61,0.4091,0.752,0.4083,1.5808,1.3882,0.3439,0.8638,1.5067,1.3972,1.5558,1.5238,1.5436,1.1594,1.478,1.4423,1.6178,0.219,0.186,0.1935,0.2,0.1933,0.1955,0.1817,0.1872,0.1617,0.1849,0.2121,0.1767
2026-03-15T17:11:01.962809+00:00,0.3736,0.3379,0.3616,0.3369,0.6197,0.439,0.7731,0.4268,1.5448,1.4287,0.3762,0.8833,1.4903,1.4186,1.5636,1.5347,1.5236,1.1766,1.489,1.4557,1.6081,0.2226,0.1994,0.1974,0.1807,0.1932,0.2002,0.1866,0.1753,0.1491,0.1699,0.1989,0.1626
